id, items_id, itemtype, devicememories_id, size, BusID
579,642,Computer,18,512,2
580,642,Computer,11,512,3
581,642,Computer,4,512,4
582,642,Computer,3,1,5
583,650,Computer,22,2048,1
584,650,Computer,1,2048,2
585,651,Computer,20,2048,1
586,651,Computer,21,2048,2
587,652,Computer,13,33,4
588,652,Computer,15,512,2
589,652,Computer,16,512,2
590,652,Computer,17,512,0
591,655,Computer,10,512,1
592,655,Computer,18,512,2
593,655,Computer,11,512,3
594,655,Computer,3,1,4
595,658,Computer,10,512,1
596,658,Computer,11,512,2
597,658,Computer,3,1,3
598,663,Computer,10,512,1
599,663,Computer,11,512,2
600,663,Computer,3,1,3
601,782,Computer,7,256,1
602,782,Computer,8,256,2
603,782,Computer,3,1,3
604,783,Computer,10,512,1
605,783,Computer,11,512,2
606,783,Computer,3,1,3
607,882,Computer,22,2048,1
608,882,Computer,1,2048,2
609,884,Computer,10,512,1
610,884,Computer,11,512,2
611,884,Computer,3,1,3
612,905,Computer,22,2048,1
613,905,Computer,1,2048,2
614,908,Computer,22,2048,1
615,908,Computer,1,2048,2
616,910,Computer,22,2048,1
617,910,Computer,1,2048,2
618,913,Computer,22,2048,1
619,913,Computer,1,2048,2
620,915,Computer,22,2048,1
621,915,Computer,1,2048,2
622,920,Computer,22,2048,1
623,920,Computer,1,2048,2
624,921,Computer,22,2048,1
625,921,Computer,1,2048,2
626,922,Computer,22,2048,1
627,922,Computer,1,2048,2
628,924,Computer,22,2048,1
629,924,Computer,1,2048,2
630,926,Computer,22,2048,1
631,926,Computer,1,2048,2
632,934,Computer,22,2048,1
633,934,Computer,1,2048,2
634,939,Computer,22,2048,1
635,939,Computer,1,2048,2
636,951,Computer,10,512,1
637,951,Computer,11,512,2
638,951,Computer,3,1,3
639,961,Computer,9,2048,1
640,961,Computer,3,1,2
641,966,Computer,10,1024,1
642,966,Computer,11,1024,2
643,966,Computer,3,4,3
644,971,Computer,5,2048,1
645,971,Computer,6,2048,2
646,975,Computer,22,2048,1
647,975,Computer,1,2048,2
648,980,Computer,1,2048,1
649,989,Computer,22,2048,1
650,989,Computer,1,2048,2
651,990,Computer,10,1024,1
652,990,Computer,11,1024,2
653,990,Computer,3,4,3
654,992,Computer,22,2048,1
655,992,Computer,1,2048,2
656,995,Computer,1,2048,1
657,998,Computer,23,1024,1
658,998,Computer,3,1,2
659,999,Computer,22,2048,1
660,999,Computer,1,2048,2
661,1000,Computer,22,2048,1
662,1000,Computer,1,2048,2
663,1028,Computer,1,2048,1
664,1030,Computer,1,2048,1
665,1031,Computer,1,2048,1
666,1032,Computer,1,2048,1
667,1033,Computer,1,2048,1
668,1034,Computer,1,2048,1
669,1035,Computer,1,2048,1
670,1036,Computer,1,2048,1
671,1037,Computer,1,2048,1
672,1038,Computer,1,2048,1
673,1067,Computer,1,2048,1
674,1068,Computer,1,2048,1
675,1070,Computer,1,2048,1
676,1071,Computer,1,2048,1
